ID,site,longitude,long.recenter,latitude,depth_avg,tags,long.recenter.new,latitude.new,Shifted
414,TY15,-179.85595,180.14405,-18.99406667,10.68,WCS Fiji,180.0833333,-19,1
415,UP01,179.98643,179.98643,-16.12494,10.3,Fiji Ministry of Fisheries,179.98643,-16.12494,0
416,UP02,-179.94705,180.05295,-16.1057,13,Fiji Ministry of Fisheries,180.05295,-16.1057,0
417,V1,179.3944,179.3944,-17.2403,3.9,WCS Fiji,179.3333333,-17.25,1
418,V2,179.3613,179.3613,-17.2263,6.67,WCS Fiji,179.3613,-17.2263,0
419,V3,179.3589,179.3589,-17.2569,3.97,WCS Fiji,179.3589,-17.2569,0
420,V4,179.3447,179.3447,-17.2554,7.17,WCS Fiji,179.3447,-17.2554,0
421,V5,179.3503,179.3503,-17.2665,6.2,WCS Fiji,179.3503,-17.2665,0
422,V6,179.3525,179.3525,-17.2801,5.7,WCS Fiji,179.3525,-17.2801,0
423,Vatu01,-179.53204,180.46796,-17.43846,1,WCS Fiji,180.46796,-17.43846,0
424,Vatu02,-179.54608,180.45392,-17.44287,11,WCS Fiji,180.45392,-17.44287,0
425,Vatu03,-179.549,180.451,-17.43134,9.97,WCS Fiji,180.451,-17.43134,0
426,Vatu04,-179.5347,180.4653,-17.41956,10,WCS Fiji,180.4653,-17.41956,0
427,Vatu05,-179.5182,180.4818,-17.43272,10.67,WCS Fiji,180.4818,-17.43272,0
428,Vatu06,-179.52986,180.47014,-17.44051,10,WCS Fiji,180.47014,-17.44051,0
429,VIR1,178.4793,178.4793,-17.2792,8.77,WCS Fiji,178.4793,-17.2792,0
430,VIR1,178.4793,178.4793,-17.2792,6.93,WCS Fiji,178.4793,-17.2792,0
431,VIR10,178.4892,178.4892,-17.4785,8.37,WCS Fiji,178.4892,-17.4785,0
432,VIR11,178.4398,178.4398,-17.3589,7.42,WCS Fiji,178.4398,-17.3589,0
433,VIR2,178.4637,178.4637,-17.2764,8.38,WCS Fiji,178.4637,-17.2764,0
434,VIR3,178.4553,178.4553,-17.2878,8.43,WCS Fiji,178.4553,-17.2878,0
435,VIR4,178.4402,178.4402,-17.30956,9.62,WCS Fiji,178.4402,-17.30956,0
436,VIR5,178.4642,178.4642,-17.3133,8.15,WCS Fiji,178.4642,-17.3133,0
437,VIR6,178.4942,178.4942,-17.4611,10.62,WCS Fiji,178.4942,-17.4611,0
438,VIR7,178.4983,178.4983,-17.4466,10.07,WCS Fiji,178.4983,-17.4466,0
439,VIR8,178.4863,178.4863,-17.4249,8.87,WCS Fiji,178.4863,-17.4249,0
440,VIR9,178.4646,178.4646,-17.3871,8.17,WCS Fiji,178.4646,-17.3871,0
441,VUY15,178.667442,178.667442,-16.972667,5.17,WCS Fiji,178.667442,-16.972667,0
442,VUY16,178.681216,178.681216,-16.997092,6.83,WCS Fiji,178.681216,-16.997092,0
443,VUY17,178.678069,178.678069,-16.999771,5.3,WCS Fiji,178.678069,-16.999771,0
444,VUY18,178.65018,178.65018,-16.960078,1.5,WCS Fiji,178.65018,-16.960078,0
445,WaiE2,178.66299,178.66299,-17.812001,7.33,WCS Fiji,178.66299,-17.812001,0
446,WaiE3,178.689001,178.689001,-17.782001,5.3,WCS Fiji,178.689001,-17.782001,0
447,WaiE4,178.6909,178.6909,-17.78621,5.9,WCS Fiji,178.6909,-17.78621,0
448,WaiE5,178.645001,178.645001,-17.780001,6.03,WCS Fiji,178.645001,-17.780001,0
449,WaiE6,178.64542,178.64542,-17.78236,5.83,WCS Fiji,178.64542,-17.78236,0
450,WAL001,179.0647709,179.0647709,-16.82239513,1,WCS Fiji,179.0647709,-16.82239513,0
451,WAL002,179.0824204,179.0824204,-16.8264681,6.13,WCS Fiji,179.0824204,-16.8264681,0
452,WAL003,179.091381,179.091381,-16.8308126,1,WCS Fiji,179.091381,-16.8308126,0
453,WAL004,179.1163619,179.1163619,-16.84357458,7.87,WCS Fiji,179.1163619,-16.84357458,0
454,WAL007,179.1202915,179.1202915,-16.83297175,6.4,WCS Fiji,179.1202915,-16.83297175,0
455,WAL008,179.1349619,179.1349619,-16.83649677,6,WCS Fiji,179.1349619,-16.83649677,0
456,WAL009,179.1350975,179.1350975,-16.82454117,1,WCS Fiji,179.1350975,-16.82454117,0
457,WAL010,179.1188595,179.1188595,-16.82145165,6.77,WCS Fiji,179.1188595,-16.82145165,0
458,WAL012,179.1109312,179.1109312,-16.80067262,1.2,WCS Fiji,179.1109312,-16.80067262,0
459,WAL013,179.1541047,179.1541047,-16.82945495,7.67,WCS Fiji,179.1541047,-16.82945495,0
460,WAL014,179.1516609,179.1516609,-16.8264681,1.3,WCS Fiji,179.1516609,-16.8264681,0
461,WAL015,179.1413428,179.1413428,-16.81289153,3.8,WCS Fiji,179.1413428,-16.81289153,0
462,WAL016,179.1663236,179.1663236,-16.82701116,1.2,WCS Fiji,179.1663236,-16.82701116,0
463,WAL017,179.1760988,179.1760988,-16.82673963,7.5,WCS Fiji,179.1760988,-16.82673963,0
464,WAL018,179.1999935,179.1999935,-16.82518009,6.8,WCS Fiji,179.1999935,-16.82518009,0
465,WAL019,179.1593566,179.1593566,-16.8160516,6.3,WCS Fiji,179.1593566,-16.8160516,0
466,WAL020,179.1493956,179.1493956,-16.79924293,5.3,WCS Fiji,179.1493956,-16.79924293,0
467,WAL021,179.1470449,179.1470449,-16.79469892,1.6,WCS Fiji,179.1470449,-16.79469892,0
468,WAL022,179.1525273,179.1525273,-16.78872577,1.3,WCS Fiji,179.1525273,-16.78872577,0
469,WAL023,179.1288523,179.1288523,-16.79144055,1,WCS Fiji,179.1288523,-16.79144055,0
470,WAL024,179.1204348,179.1204348,-16.78953983,6.5,WCS Fiji,179.0833333,-16.83333333,1
471,WAL025,179.1234217,179.1234217,-16.77297641,5,WCS Fiji,179.1666667,-16.75,1
472,WAL026,179.130753,179.130753,-16.76455894,1.5,WCS Fiji,179.130753,-16.76455894,0
473,WAL027,179.1386274,179.1386274,-16.76401587,1,WCS Fiji,179.1386274,-16.76401587,0
474,WAL028,179.1462303,179.1462303,-16.77053263,7.27,WCS Fiji,179.1462303,-16.77053263,0
475,WAL029,179.1565485,179.1565485,-16.76890344,7.33,WCS Fiji,179.1565485,-16.76890344,0
476,WAL030,179.1432435,179.1432435,-16.7599429,2,WCS Fiji,179.1432435,-16.7599429,0
477,WAL031,179.1505874,179.1505874,-16.75652101,7.2,WCS Fiji,179.1505874,-16.75652101,0
478,WAL032,179.1573631,179.1573631,-16.75315462,5,WCS Fiji,179.1573631,-16.75315462,0
479,WAL034,179.1619791,179.1619791,-16.74690939,1,WCS Fiji,179.1619791,-16.74690939,0
480,WAL035,179.1883177,179.1883177,-16.75016777,1.3,WCS Fiji,179.1883177,-16.75016777,0
481,WAL036,179.1817143,179.1817143,-16.75107066,1.4,WCS Fiji,179.1817143,-16.75107066,0
482,WAL037,179.1766418,179.1766418,-16.74745246,6.5,WCS Fiji,179.1766418,-16.74745246,0
483,WAL038,179.1676813,179.1676813,-16.74283642,1,WCS Fiji,179.1676813,-16.74283642,0
484,WAL039,179.177728,179.177728,-16.74012111,5.5,WCS Fiji,179.177728,-16.74012111,0
485,WAL040,179.1729849,179.1729849,-16.72676362,1,WCS Fiji,179.1729849,-16.72676362,0
486,WAL041,179.1866885,179.1866885,-16.717584,1,WCS Fiji,179.1866885,-16.717584,0
487,WAL042,179.1961921,179.1961921,-16.70998112,5.93,WCS Fiji,179.1961921,-16.70998112,0
488,WAL043,179.204338,179.204338,-16.70482202,2.93,WCS Fiji,179.1666667,-16.75,1
489,WAL045,179.2181861,179.2181861,-16.70279199,6.4,WCS Fiji,179.25,-16.75,1
490,WAL046,179.229569,179.229569,-16.70524824,6.9,WCS Fiji,179.25,-16.75,1
491,WAL047,179.2409948,179.2409948,-16.70237824,1,WCS Fiji,179.25,-16.75,1
492,WAL049,179.129152,179.129152,-16.786569,6.7,WCS Fiji,179.129152,-16.786569,0
493,WAL105,179.116745,179.116745,-16.837303,1,WCS Fiji,179.116745,-16.837303,0
494,WAL106,179.11005,179.11005,-16.840114,6.2,WCS Fiji,179.11005,-16.840114,0
495,WAL111,179.092997,179.092997,-16.806726,7.07,WCS Fiji,179.092997,-16.806726,0
496,WAL133,179.175588,179.175588,-16.761814,7.23,WCS Fiji,179.175588,-16.761814,0
497,WAL144,179.212374,179.212374,-16.704657,4,WCS Fiji,179.25,-16.75,1
498,WAN001,178.849718,178.849718,-16.91580194,7.27,WCS Fiji,178.849718,-16.91580194,0
499,WAN002,178.8459166,178.8459166,-16.91037131,1.23,WCS Fiji,178.8459166,-16.91037131,0
500,WAN003,178.8565151,178.8565151,-16.9060422,1,WCS Fiji,178.8565151,-16.9060422,0
501,WAN005,178.8524333,178.8524333,-16.8921787,1,WCS Fiji,178.8524333,-16.8921787,0
502,WAN006,178.8611223,178.8611223,-16.89109258,4.4,WCS Fiji,178.8611223,-16.89109258,0
503,WAN007,178.910609,178.910609,-16.933791,8.7,WCS Fiji,178.910609,-16.933791,0
504,WAN008,178.9004944,178.9004944,-16.93290842,6.6,WCS Fiji,178.9004944,-16.93290842,0
505,WAN009,178.9021558,178.9021558,-16.92458971,1.3,WCS Fiji,178.9021558,-16.92458971,0
506,WAN010,178.8684537,178.8684537,-16.88403276,1,WCS Fiji,178.8684537,-16.88403276,0
507,WAN011,178.8861032,178.8861032,-16.88403276,3,WCS Fiji,178.8861032,-16.88403276,0
508,WAN012,178.8901762,178.8901762,-16.88701961,1.4,WCS Fiji,178.8901762,-16.88701961,0
509,WAN013,178.8863748,178.8863748,-16.87642988,1,WCS Fiji,178.8863748,-16.87642988,0
510,WAN016,178.8996798,178.8996798,-16.90141077,1,WCS Fiji,178.8996798,-16.90141077,0
511,WAN017,178.899512,178.899512,-16.89760933,1,WCS Fiji,178.899512,-16.89760933,0
512,WAN022,178.937061,178.937061,-16.901006,1.2,WCS Fiji,178.937061,-16.901006,0
513,WAN023,178.936065,178.936065,-16.90385455,1.3,WCS Fiji,178.936065,-16.90385455,0
514,WAN024,178.9338928,178.9338928,-16.90982825,1,WCS Fiji,178.9338928,-16.90982825,0
515,WAN025,178.9433964,178.9433964,-16.9120005,5,WCS Fiji,178.9433964,-16.9120005,0
516,WAN026,178.9512708,178.9512708,-16.91227203,1,WCS Fiji,178.9512708,-16.91227203,0
517,WAN027,178.9542576,178.9542576,-16.91906031,1,WCS Fiji,178.9542576,-16.91906031,0
518,WAN028,178.9634897,178.9634897,-16.93643832,1,WCS Fiji,178.9634897,-16.93643832,0
519,WAN104,178.853935,178.853935,-16.900938,1,WCS Fiji,178.853935,-16.900938,0
520,WAN118,178.899999,178.899999,-16.886173,1.2,WCS Fiji,178.899999,-16.886173,0
521,WAN119,178.909496,178.909496,-16.89274,1.3,WCS Fiji,178.909496,-16.89274,0
522,WR,177.32,177.32,-16.95368,10,Marine Ecology Consulting Fiji,177.32,-16.95368,0
523,YA01,177.31938,177.31938,-16.96129,10,Fiji Ministry of Fisheries,177.3333333,-16.91666667,1
524,YA02,177.319972,177.319972,-16.953694,9,Fiji Ministry of Fisheries,177.319972,-16.953694,0
525,YA03,177.357667,177.357667,-16.918,10,Fiji Ministry of Fisheries,177.357667,-16.918,0
526,YA04,177.385417,177.385417,-16.914056,13,Fiji Ministry of Fisheries,177.3333333,-16.91666667,1
527,YA05,177.387278,177.387278,-16.875722,10,Fiji Ministry of Fisheries,177.4166667,-16.83333333,1
528,YA06,177.400219,177.400219,-16.885161,12.9,Fiji Ministry of Fisheries,177.4166667,-16.83333333,1
529,YA07,177.358101,177.358101,-17.007427,10,Fiji Ministry of Fisheries,177.4166667,-17,1
530,YA08,177.352197,177.352197,-17.015995,10,Fiji Ministry of Fisheries,177.4166667,-17,1
531,YA09,177.350759,177.350759,-17.014933,10,Fiji Ministry of Fisheries,177.4166667,-17,1
532,YA10,177.337232,177.337232,-17.0071615,6,Fiji Ministry of Fisheries,177.3333333,-17.08333333,1
533,Yac01,-179.55023,180.44977,-17.25782,10.5,WCS Fiji,180.44977,-17.25782,0
534,Yac02,-179.53789,180.46211,-17.26277,11,WCS Fiji,180.46211,-17.26277,0
535,Yac03,-179.50087,180.49913,-17.26381,10.17,WCS Fiji,180.49913,-17.26381,0
536,Yac04,-179.48424,180.51576,-17.2665,10.1,WCS Fiji,180.51576,-17.2665,0
537,Yac05,-179.5032,180.4968,-17.25255,3.4,WCS Fiji,180.4968,-17.25255,0
538,Yac06,-179.52521,180.47479,-17.23642,9.67,WCS Fiji,180.47479,-17.23642,0
539,Yac07,-179.51791,180.48209,-17.24219,9.53,WCS Fiji,180.48209,-17.24219,0
540,Yac08,-179.50404,180.49596,-17.23875,9.8,WCS Fiji,180.49596,-17.23875,0
541,Yac09,-179.49728,180.50272,-17.23876,11.13,WCS Fiji,180.50272,-17.23876,0
542,Yac11,-179.49187,180.50813,-17.26002,4.43,WCS Fiji,180.50813,-17.26002,0
543,Yac13,-179.54135,180.45865,-17.2482,10.5,WCS Fiji,180.45865,-17.2482,0
544,Yac15,-179.53996,180.46004,-17.24652,9.5,WCS Fiji,180.46004,-17.24652,0
545,Yac16,-179.5475,180.4525,-17.25345,8.9,WCS Fiji,180.4525,-17.25345,0
546,Yac17,-179.548873,180.451127,-17.26403,1,WCS Fiji,180.451127,-17.26403,0
547,Yac18,-179.53899,180.46101,-17.26258,1.9,WCS Fiji,180.46101,-17.26258,0
548,Yac19,-179.47536,180.52464,-17.26797,8.83,WCS Fiji,180.52464,-17.26797,0
549,Yac20,-179.5497,180.4503,-17.26024,10,WCS Fiji,180.4503,-17.26024,0
550,Yac21,-179.53142,180.46858,-17.27197,9.9,WCS Fiji,180.46858,-17.27197,0
551,YD01,178.324889,178.324889,-16.800117,12,Fiji Ministry of Fisheries,178.324889,-16.800117,0
552,YD02,178.308611,178.308611,-16.796583,10,Fiji Ministry of Fisheries,178.308611,-16.796583,0
553,YD03,178.275611,178.275611,-16.807389,6,Fiji Ministry of Fisheries,178.275611,-16.807389,0
554,YD04,178.274,178.274,-16.829139,10,Fiji Ministry of Fisheries,178.274,-16.829139,0
555,YD05,178.327778,178.327778,-16.835083,10,Fiji Ministry of Fisheries,178.327778,-16.835083,0
556,YD06,178.319667,178.319667,-16.852333,10,Fiji Ministry of Fisheries,178.319667,-16.852333,0
557,YQ01,178.67955,178.67955,-16.50346,10,Fiji Ministry of Fisheries,178.67955,-16.50346,0
558,YQ02,178.63327,178.63327,-16.57648,10,Fiji Ministry of Fisheries,178.63327,-16.57648,0
559,YQ04,178.751384,178.751384,-16.505479,8.67,Fiji Ministry of Fisheries,178.751384,-16.505479,0
