ID,site,longitude,long.recenter,latitude,depth_avg,tags,long.recenter.new,latitude.new,Shifted
203,LKN30,178.50536,178.50536,-16.634864,6.23,WCS Fiji,178.50536,-16.634864,0
204,LKN31A,178.49641,178.49641,-16.672689,2,WCS Fiji,178.49641,-16.672689,0
205,LKN33A,178.749017,178.749017,-16.481716,5.33,WCS Fiji,178.749017,-16.481716,0
206,LKN34A,178.738048,178.738048,-16.524794,0.83,WCS Fiji,178.738048,-16.524794,0
207,LKN35A,178.726918,178.726918,-16.5302,7.17,WCS Fiji,178.726918,-16.5302,0
208,LKN36,178.66492,178.66492,-16.521164,6.8,WCS Fiji,178.66492,-16.521164,0
209,LKN37A,178.649745,178.649745,-16.514113,8,WCS Fiji,178.649745,-16.514113,0
210,LKN38,178.528198,178.528198,-16.591495,5.53,WCS Fiji,178.528198,-16.591495,0
211,LKN49A,178.610994,178.610994,-16.626171,1,WCS Fiji,178.6666667,-16.58333333,1
212,LKN53A,178.607849,178.607849,-16.5446,6,WCS Fiji,178.5833333,-16.5,1
213,LKN55A,178.547607,178.547607,-16.585149,1.5,WCS Fiji,178.5,-16.58333333,1
214,LKN68,178.634581,178.634581,-16.578535,7.33,WCS Fiji,178.634581,-16.578535,0
215,LKN69,178.609725,178.609725,-16.568415,1,WCS Fiji,178.6666667,-16.58333333,1
216,LKN70,178.642406,178.642406,-16.538965,1.33,WCS Fiji,178.642406,-16.538965,0
217,LKN71,178.660499,178.660499,-16.615225,6.67,WCS Fiji,178.660499,-16.615225,0
218,LKN72,178.643376,178.643376,-16.554424,6.3,WCS Fiji,178.643376,-16.554424,0
219,LKNGT,178.689202,178.689202,-16.627012,2.3,WCS Fiji,178.6666667,-16.58333333,1
220,LV01,178.79463,178.79463,-17.61747,2.83,WCS Fiji,178.79463,-17.61747,0
221,LV02,178.81602,178.81602,-17.62546,7.1,WCS Fiji,178.81602,-17.62546,0
222,LV03,178.82092,178.82092,-17.63989,3.33,WCS Fiji,178.82092,-17.63989,0
223,LV05,178.8392,178.8392,-17.65785,3.23,WCS Fiji,178.8392,-17.65785,0
224,LV07,178.7440167,178.7440167,-17.65547269,1.5,WCS Fiji,178.7440167,-17.65547269,0
225,LV08,178.82516,178.82516,-17.598,5.23,WCS Fiji,178.82516,-17.598,0
226,LV12,178.85141,178.85141,-17.56563,7.8,WCS Fiji,178.85141,-17.56563,0
227,LV13,178.83603,178.83603,-17.61565,7.93,WCS Fiji,178.83603,-17.61565,0
228,LV14,178.8465614,178.8465614,-17.66594123,7.77,WCS Fiji,178.8465614,-17.66594123,0
229,LV15,178.84181,178.84181,-17.64949,9,WCS Fiji,178.84181,-17.64949,0
230,LV16,178.82857,178.82857,-17.65072,2.63,WCS Fiji,178.82857,-17.65072,0
231,LV17,178.7079048,178.7079048,-17.65350977,7.8,WCS Fiji,178.7079048,-17.65350977,0
232,LW03,177.301778,177.301778,-17.568944,10,Fiji Ministry of Fisheries,177.301778,-17.568944,0
233,LW04,177.30389,177.30389,-17.56387,9,Fiji Ministry of Fisheries,177.30389,-17.56387,0
234,LW07,177.448437,177.448437,-17.586279,10,Fiji Ministry of Fisheries,177.448437,-17.586279,0
235,LW11,177.0869,177.0869,-17.57027,9,Fiji Ministry of Fisheries,177.0869,-17.57027,0
236,LW12,177.075833,177.075833,-17.575778,9,Fiji Ministry of Fisheries,177.075833,-17.575778,0
237,LW13,177.085111,177.085111,-17.57275,10,Fiji Ministry of Fisheries,177.085111,-17.57275,0
238,LW14,177.0905,177.0905,-17.583833,5,Fiji Ministry of Fisheries,177.0905,-17.583833,0
239,MAP01,179.028741,179.028741,-16.937449,7.25,WCS Fiji,179.028741,-16.937449,0
240,MAP02,179.0367,179.0367,-16.9191,5,WCS Fiji,179.0367,-16.9191,0
241,MAP06,179.0801,179.0801,-16.8369,5.67,WCS Fiji,179.0801,-16.8369,0
242,MAP07,178.9698,178.9698,-16.9599,6,WCS Fiji,178.9698,-16.9599,0
243,MAP08,178.976039,178.976039,-16.9926,4,WCS Fiji,178.976039,-16.9926,0
244,MAP09,178.9781,178.9781,-16.9592,6,WCS Fiji,178.9781,-16.9592,0
245,MAP10,178.9824,178.9824,-16.9774,4,WCS Fiji,178.9824,-16.9774,0
246,MAP11,178.9722,178.9722,-16.9754,6,WCS Fiji,178.9722,-16.9754,0
247,MAP12,179.0036,179.0036,-16.9413,6,WCS Fiji,179.0036,-16.9413,0
248,MAP13,179.0934,179.0934,-16.8877,6,WCS Fiji,179.0934,-16.8877,0
249,MAP14,179.0919,179.0919,-16.902,6,WCS Fiji,179.0919,-16.902,0
250,MAP15,179.0788,179.0788,-16.1596,6,WCS Fiji,179.0788,-16.1596,0
251,MAP16A,179.0766,179.0766,-16.9205,6,WCS Fiji,179.0766,-16.9205,0
252,MAP17,179.0666,179.0666,-16.9141,5,WCS Fiji,179.0666,-16.9141,0
253,MAP18,179.0757,179.0757,-16.8864,1.53,WCS Fiji,179.0757,-16.8864,0
254,MAP19,179.0537,179.0537,-16.912,6,WCS Fiji,179.0537,-16.912,0
255,MAP20A,179.0912,179.0912,-16.8417,1.5,WCS Fiji,179.0912,-16.8417,0
