"","site","latitude","longitude","long.recenter","depth_avg","tags"
"217","LKN71",-16.615225,178.660499,178.660499,6.67,"WCS Fiji"
"218","LKN72",-16.554424,178.643376,178.643376,6.3,"WCS Fiji"
"219","LKNGT",-16.627012,178.689202,178.689202,2.3,"WCS Fiji"
"220","LV01",-17.61747,178.79463,178.79463,2.83,"WCS Fiji"
"221","LV02",-17.62546,178.81602,178.81602,7.1,"WCS Fiji"
"222","LV03",-17.63989,178.82092,178.82092,3.33,"WCS Fiji"
"223","LV05",-17.65785,178.8392,178.8392,3.23,"WCS Fiji"
"224","LV07",-17.655472690421,178.744016652927,178.744016652927,1.5,"WCS Fiji"
"225","LV08",-17.598,178.82516,178.82516,5.23,"WCS Fiji"
"226","LV12",-17.56563,178.85141,178.85141,7.8,"WCS Fiji"
"227","LV13",-17.61565,178.83603,178.83603,7.93,"WCS Fiji"
"228","LV14",-17.6659412302575,178.846561443061,178.846561443061,7.77,"WCS Fiji"
"229","LV15",-17.64949,178.84181,178.84181,9,"WCS Fiji"
"230","LV16",-17.65072,178.82857,178.82857,2.63,"WCS Fiji"
"231","LV17",-17.6535097714131,178.707904815674,178.707904815674,7.8,"WCS Fiji"
"232","LW03",-17.568944,177.301778,177.301778,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"233","LW04",-17.56387,177.30389,177.30389,9,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"234","LW07",-17.586279,177.448437,177.448437,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"235","LW11",-17.57027,177.0869,177.0869,9,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"236","LW12",-17.575778,177.075833,177.075833,9,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"237","LW13",-17.57275,177.085111,177.085111,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"238","LW14",-17.583833,177.0905,177.0905,5,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"239","MAP01",-16.937449,179.028741,179.028741,7.25,"WCS Fiji"
"240","MAP02",-16.9191,179.0367,179.0367,5,"WCS Fiji"
"241","MAP06",-16.8369,179.0801,179.0801,5.67,"WCS Fiji"
"242","MAP07",-16.9599,178.9698,178.9698,6,"WCS Fiji"
"243","MAP08",-16.9926,178.976039,178.976039,4,"WCS Fiji"
"244","MAP09",-16.9592,178.9781,178.9781,6,"WCS Fiji"
"245","MAP10",-16.9774,178.9824,178.9824,4,"WCS Fiji"
"246","MAP11",-16.9754,178.9722,178.9722,6,"WCS Fiji"
"247","MAP12",-16.9413,179.0036,179.0036,6,"WCS Fiji"
"248","MAP13",-16.8877,179.0934,179.0934,6,"WCS Fiji"
"249","MAP14",-16.902,179.0919,179.0919,6,"WCS Fiji"
"250","MAP15",-16.1596,179.0788,179.0788,6,"WCS Fiji"
"251","MAP16A",-16.9205,179.0766,179.0766,6,"WCS Fiji"
"252","MAP17",-16.9141,179.0666,179.0666,5,"WCS Fiji"
"253","MAP18",-16.8864,179.0757,179.0757,1.53,"WCS Fiji"
"254","MAP19",-16.912,179.0537,179.0537,6,"WCS Fiji"
"255","MAP20A",-16.8417,179.0912,179.0912,1.5,"WCS Fiji"
"256","MAP21",-16.8541,179.0932,179.0932,5,"WCS Fiji"
"257","MAP26",-17.1129,179.0932,179.0932,3.3,"WCS Fiji"
"258","MAP28",-16.8656,179.0415,179.0415,4,"WCS Fiji"
"259","MAP30A",-17.0922,179.1206,179.1206,6.2,"WCS Fiji"
"260","MAP31A",-17.0728,179.1106,179.1106,8,"WCS Fiji"
"261","MAP32",-17.0463,179.0574,179.0574,8,"WCS Fiji"
"262","MD1",-17.3951,179.3662,179.3662,7.63,"WCS Fiji"
"263","MD4",-17.4045,179.3866,179.3866,10,"WCS Fiji"
"264","MD6",-17.3865,179.4036,179.4036,9.2,"WCS Fiji"
"265","MM",-17.3335,178.5227,178.5227,12,"Marine Ecology Consulting Fiji"
"266","MM1",-17.3453951,178.5225964,178.5225964,7.36,"WCS Fiji"
"267","MO1",-17.0485,178.9554,178.9554,12.78,"WCS Fiji"
"268","MO4",-16.975417,178.99725,178.99725,9.09,"WCS Fiji"
"269","Moon1",-17.53041,178.52386,178.52386,8.37,"WCS Fiji"
"270","Moon2",-17.52593,178.51248,178.51248,7.73,"WCS Fiji"
"271","Moon3",-17.51915,178.51619,178.51619,8.1,"WCS Fiji"
"272","N19",-17.1457,179.098733,179.098733,8.9,"WCS Fiji"
"273","N20",-17.140016,179.09155,179.09155,8.92,"WCS Fiji"
"274","NA02",-17.72484,178.82768,178.82768,2,"WCS Fiji"
"275","NA03",-17.7401849296316,178.810043334961,178.810043334961,3,"WCS Fiji"
"276","NA05",-17.72,178.85115,178.85115,8.6,"WCS Fiji"
"277","NA07",-17.73409,178.84105,178.84105,8,"WCS Fiji"
"278","NAD001",-17.05482602,178.9151571,178.9151571,8.07,"WCS Fiji"
"279","NAD002",-17.05102458,178.910541,178.910541,3.67,"WCS Fiji"
"280","NAD004",-17.03807619,178.9373656,178.9373656,7.5,"WCS Fiji"
"281","NAD005",-17.0347327,178.9203162,178.9203162,2.33,"WCS Fiji"
"282","NAD006",-17.03120279,178.9222169,178.9222169,5,"WCS Fiji"
"283","NAD007",-16.96630678,178.7929679,178.7929679,1.2,"WCS Fiji"
"284","NAD008",-16.96331994,178.8011139,178.8011139,1,"WCS Fiji"
"285","NAD009",-16.95775539,178.8108583,178.8108583,5.4,"WCS Fiji"
"286","NAD010",-16.9492003,178.8060015,178.8060015,2.47,"WCS Fiji"
"287","NAD012",-16.94132589,178.8217503,178.8217503,6.83,"WCS Fiji"
"288","NAD013",-16.93399454,178.8119751,178.8119751,7.27,"WCS Fiji"
"289","NAD016",-16.92557707,178.8198496,178.8198496,1.5,"WCS Fiji"
"290","NAD019",-16.91987491,178.8326115,178.8326115,2,"WCS Fiji"
"291","NAD020",-16.92340482,178.8423867,178.8423867,5,"WCS Fiji"
"292","NAD021",-16.91254356,178.8388568,178.8388568,3.67,"WCS Fiji"
"293","NAD103",-17.047288,178.911822,178.911822,1,"WCS Fiji"
"294","NAD111",-16.951638,178.816601,178.816601,1,"WCS Fiji"
"295","NAD117",-16.934046,178.830992,178.830992,6.5,"WCS Fiji"
"296","NAO1",-17.746,178.827,178.827,7.12,"WCS Fiji"
"297","NAO2N",-17.722,178.829,178.829,4.2,"WCS Fiji"
"298","NAO3",-17.74,178.812,178.812,4.88,"WCS Fiji"
"299","NAO6",-17.74,178.838,178.838,7.15,"WCS Fiji"
"300","NAO7",-17.734,178.841,178.841,7.2,"WCS Fiji"
"301","NAOBF1",-17.64418,178.83719,178.83719,5.22,"WCS Fiji"
"302","NAOBF2",-17.631,178.83,178.83,4.82,"WCS Fiji"
"303","NAOBF2",-17.631,178.83,178.83,5.62,"WCS Fiji"
"304","NAOBF3",-17.598,178.825,178.825,4.05,"WCS Fiji"
"305","NAOBF3",-17.598,178.825,178.825,4.13,"WCS Fiji"
"306","NAOBF4",-17.595,178.819,178.819,7.2,"WCS Fiji"
"307","NAOBF4",-17.595,178.819,178.819,4.95,"WCS Fiji"
"308","NAOBT1",-17.622,178.831,178.831,3.05,"WCS Fiji"
"309","NAOBT1",-17.622,178.831,178.831,4.25,"WCS Fiji"
"310","NAOBT2",-17.618,178.829,178.829,6.87,"WCS Fiji"
"311","NAOBT2",-17.618,178.829,178.829,4.23,"WCS Fiji"
"312","NAOBT3",-17.614,178.83,178.83,4.75,"WCS Fiji"
"313","NAOBT3",-17.614,178.83,178.83,4.67,"WCS Fiji"
"314","NAOCF1",-17.64391,178.82422,178.82422,5.82,"WCS Fiji"
"315","NAOCF2",-17.63753,178.82054,178.82054,4.98,"WCS Fiji"
"316","NAOCF3",-17.62048,178.80315,178.80315,5.93,"WCS Fiji"
"317","NAOCF4",-17.61859,178.79863,178.79863,4.88,"WCS Fiji"
"318","NAOCT1",-17.62539,178.81694,178.81694,5.68,"WCS Fiji"
"319","NAOCT2",-17.62515,178.81316,178.81316,4.08,"WCS Fiji"
"320","Navakavu_Lagoon",-18.158,178.343,178.343,6,"ZMT (Leibniz Centre for Tropical Marine Research)"
"321","Navakavu_Lagoon_Tabu",-18.144,178.367,178.367,6,"ZMT (Leibniz Centre for Tropical Marine Research)"
"322","Navakavu_Plat",-18.15,178.345,178.345,3,"ZMT (Leibniz Centre for Tropical Marine Research)"
"323","Navakavu_Plat_Tabu",-18.146,178.363,178.363,3,"ZMT (Leibniz Centre for Tropical Marine Research)"
"324","NC1",-17.2389,179.4391,179.4391,8.05,"WCS Fiji"
"325","NC2",-17.2511,179.4384,179.4384,8.53,"WCS Fiji"
"326","NF1",-17.3848,179.4099,179.4099,5.4,"WCS Fiji"
"327","NF2",-17.37898,179.41577,179.41577,1.27,"WCS Fiji"
"328","NF3",-17.3787,179.4189,179.4189,0.93,"WCS Fiji"
"329","NF4",-17.3709,179.4239,179.4239,0.78,"WCS Fiji"
"330","NF5",-17.36679,179.42178,179.42178,0.85,"WCS Fiji"
"331","NF6",-17.36799,179.42468,179.42468,1.05,"WCS Fiji"
"332","NKC",-16.8447,179.0695,179.0695,5,"WCS Fiji"
"333","NKT",-16.8458,179.0594,179.0594,4,"WCS Fiji"
"334","NOB1",-16.8597,179.1038,179.1038,8.83,"WCS Fiji"
"335","NOB2",-16.8978,179.105,179.105,12.44,"WCS Fiji"
"336","NOB3",-16.9395,179.0686,179.0686,8.65,"WCS Fiji"
"337","NP1",-16.94588,179.01736,179.01736,7.62,"WCS Fiji"
"338","NP2",-16.9461,179.0007,179.0007,6,"WCS Fiji"
"339","NS1",-17.3378,179.4467,179.4467,4.47,"WCS Fiji"
"340","NS3",-17.3741,179.4217,179.4217,5.5,"WCS Fiji"
"341","NT1",-17.3741,179.4217,179.4217,1,"WCS Fiji"
"342","NT2",-17.3774,179.4206,179.4206,1.6,"WCS Fiji"
"343","NT3",-17.3749,179.4244,179.4244,2.03,"WCS Fiji"
"344","NTRFN1",-17.509,178.382,178.382,5.73,"WCS Fiji"
"345","NTRFN7",-17.516,178.398,178.398,5.32,"WCS Fiji"
"346","NTRFT4",-17.495,178.38,178.38,5.72,"WCS Fiji"
"347","NTRFT5",-17.499,178.381,178.381,6.1,"WCS Fiji"
"348","NTRFT7",-17.496,178.378,178.378,5.53,"WCS Fiji"
"349","NTRFT8",-17.501,178.376,178.376,4.73,"WCS Fiji"
"350","NV1",-17.294,179.3578,179.3578,6,"WCS Fiji"
"351","NV4",-17.3146,179.3684,179.3684,5.17,"WCS Fiji"
"352","OB1A",-16.300117,179.034167,179.034167,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"353","OB1B",-16.213,179.032683,179.032683,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"354","PT2",-16.8447,179.0556,179.0556,8.46,"WCS Fiji"
"355","Ratstail",-18.137,178.381,178.381,5,"ZMT (Leibniz Centre for Tropical Marine Research)"
"356","RF13",-16.9187,179.1032,179.1032,9.4,"WCS Fiji"
"357","RF18",-16.9932,179.0162,179.0162,6.9,"WCS Fiji"
"358","RF8",-16.871,179.0873,179.0873,9.6,"WCS Fiji"
"359","Site 1",-16.344039,179.308722,179.308722,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"360","Site 2",-16.295139,179.277861,179.277861,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"361","Site 3A",-16.268417,179.133472,179.133472,5,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"362","Site 4",-16.240417,179.035083,179.035083,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"363","SOL001A",-17.094474,178.777817,178.777817,8.67,"WCS Fiji"
"364","SOL002",-17.09148276,178.7788483,178.7788483,1,"WCS Fiji"
"365","SOL003",-17.08747731,178.7785938,178.7785938,8.67,"WCS Fiji"
"366","SOL004",-17.0930191,178.785561,178.785561,7.13,"WCS Fiji"
"367","SOL005",-17.09121123,178.7883519,178.7883519,1.3,"WCS Fiji"
"368","SOL006",-17.09089016,178.7910955,178.7910955,7.3,"WCS Fiji"
"369","SOL007",-17.097643,178.797611,178.797611,6,"WCS Fiji"
"370","SOL008",-17.093721,178.797855,178.797855,1.2,"WCS Fiji"
"371","SOL009",-17.09107596,178.7989416,178.7989416,5,"WCS Fiji"
"372","SOL010",-17.10324043,178.8043404,178.8043404,8,"WCS Fiji"
"373","SOL012",-17.09637033,178.8054584,178.8054584,8,"WCS Fiji"
"374","SOL013",-17.09066817,178.8079022,178.8079022,8,"WCS Fiji"
"375","SOL014",-17.08766966,178.8036246,178.8036246,8,"WCS Fiji"
"376","SOL015",-17.08578061,178.8119751,178.8119751,5.6,"WCS Fiji"
"377","SOL016",-17.08183199,178.8094918,178.8094918,5.3,"WCS Fiji"
"378","SOL017",-17.08578061,178.819578,178.819578,8,"WCS Fiji"
"379","SOL018",-17.08257432,178.8184802,178.8184802,6.2,"WCS Fiji"
"380","SOL019",-17.08876745,178.8269094,178.8269094,8,"WCS Fiji"
"381","SOL021",-17.08116685,178.8238992,178.8238992,8,"WCS Fiji"
"382","SOL022",-17.08821234,178.8455915,178.8455915,10,"WCS Fiji"
"383","SOL023",-17.08469448,178.8388568,178.8388568,1,"WCS Fiji"
"384","SOL024",-17.08306529,178.8453735,178.8453735,1,"WCS Fiji"
"385","SOL025",-17.08523754,178.8559632,178.8559632,1.5,"WCS Fiji"
"386","SOL026",-17.07838168,178.864164,178.864164,8,"WCS Fiji"
"387","SOL027",-17.06867413,178.8651953,178.8651953,3.33,"WCS Fiji"
"388","SOL028",-17.06487269,178.8730697,178.8730697,1,"WCS Fiji"
"389","SOL029",-17.06344948,178.8907002,178.8907002,7.7,"WCS Fiji"
"390","SOL030",-17.05699827,178.8836594,178.8836594,4,"WCS Fiji"
"391","SOL031",-17.01453925,178.7704546,178.7704546,1,"WCS Fiji"
"392","SOL033",-16.98151254,178.7992132,178.7992132,1,"WCS Fiji"
"393","SOL034",-17.01898388,178.8396713,178.8396713,1,"WCS Fiji"
"394","SOL035",-17.01681162,178.8377706,178.8377706,8.17,"WCS Fiji"
"395","SOL111",-17.09916913,178.8058997,178.8058997,1.1,"WCS Fiji"
"396","SOL120",-17.081489,178.823896,178.823896,1,"WCS Fiji"
"397","SOL132",-16.99997668,178.7929679,178.7929679,1.4,"WCS Fiji"
"398","TF1",-17.30246,179.4471,179.4471,7.67,"WCS Fiji"
"399","TF2",-17.2996,179.45132,179.45132,8.03,"WCS Fiji"
"400","TF3",-17.29677,179.44435,179.44435,6.8,"WCS Fiji"
"401","TF4",-17.27405,179.43878,179.43878,7.72,"WCS Fiji"
"402","TF5",-17.26915,179.43959,179.43959,7.82,"WCS Fiji"
"403","TT1",-17.29116,179.44206,179.44206,7.92,"WCS Fiji"
"404","TT2",-17.287,179.44337,179.44337,7.45,"WCS Fiji"
"405","TT3",-17.28759,179.4375,179.4375,4.15,"WCS Fiji"
"406","TY01",-18.99895,-179.8482333,180.1517667,7.6,"WCS Fiji"
"407","TY02",-18.99918333,-179.84985,180.15015,10.03,"WCS Fiji"
"408","TY04",-19.00278333,-179.8485667,180.1514333,11.52,"WCS Fiji"
"409","TY06",-18.99221667,-179.8502833,180.1497167,6.5,"WCS Fiji"
"410","TY08",-19.00211667,-179.8363333,180.1636667,10.1,"WCS Fiji"
"411","TY10",-19.00768333,-179.8595667,180.1404333,8,"WCS Fiji"
"412","TY12",-19.20944444,-179.9563889,180.0436111,9.88,"WCS Fiji"
"413","TY13",-18.99095,-179.8567167,180.1432833,8.42,"WCS Fiji"
"414","TY15",-18.99406667,-179.85595,180.14405,10.68,"WCS Fiji"
"415","UP01",-16.12494,179.98643,179.98643,10.3,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"416","UP02",-16.1057,-179.94705,180.05295,13,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"417","V1",-17.2403,179.3944,179.3944,3.9,"WCS Fiji"
"418","V2",-17.2263,179.3613,179.3613,6.67,"WCS Fiji"
"419","V3",-17.2569,179.3589,179.3589,3.97,"WCS Fiji"
"420","V4",-17.2554,179.3447,179.3447,7.17,"WCS Fiji"
"421","V5",-17.2665,179.3503,179.3503,6.2,"WCS Fiji"
"422","V6",-17.2801,179.3525,179.3525,5.7,"WCS Fiji"
"423","Vatu01",-17.43846,-179.53204,180.46796,1,"WCS Fiji"
"424","Vatu02",-17.44287,-179.54608,180.45392,11,"WCS Fiji"
"425","Vatu03",-17.43134,-179.549,180.451,9.97,"WCS Fiji"
"426","Vatu04",-17.41956,-179.5347,180.4653,10,"WCS Fiji"
"427","Vatu05",-17.43272,-179.5182,180.4818,10.67,"WCS Fiji"
"428","Vatu06",-17.44051,-179.52986,180.47014,10,"WCS Fiji"
"429","VIR1",-17.2792,178.4793,178.4793,8.77,"WCS Fiji"
"430","VIR1",-17.2792,178.4793,178.4793,6.93,"WCS Fiji"
"431","VIR10",-17.4785,178.4892,178.4892,8.37,"WCS Fiji"
"432","VIR11",-17.3589,178.4398,178.4398,7.42,"WCS Fiji"
"433","VIR2",-17.2764,178.4637,178.4637,8.38,"WCS Fiji"
"434","VIR3",-17.2878,178.4553,178.4553,8.43,"WCS Fiji"
"435","VIR4",-17.30956,178.4402,178.4402,9.62,"WCS Fiji"
"436","VIR5",-17.3133,178.4642,178.4642,8.15,"WCS Fiji"
"437","VIR6",-17.4611,178.4942,178.4942,10.62,"WCS Fiji"
"438","VIR7",-17.4466,178.4983,178.4983,10.07,"WCS Fiji"
"439","VIR8",-17.4249,178.4863,178.4863,8.87,"WCS Fiji"
"440","VIR9",-17.3871,178.4646,178.4646,8.17,"WCS Fiji"
"441","VUY15",-16.972667,178.667442,178.667442,5.17,"WCS Fiji"
"442","VUY16",-16.997092,178.681216,178.681216,6.83,"WCS Fiji"
"443","VUY17",-16.999771,178.678069,178.678069,5.3,"WCS Fiji"
"444","VUY18",-16.960078,178.65018,178.65018,1.5,"WCS Fiji"
"445","WaiE2",-17.812001,178.66299,178.66299,7.33,"WCS Fiji; Vibrant Oceans"
"446","WaiE3",-17.782001,178.689001,178.689001,5.3,"WCS Fiji; Vibrant Oceans"
"447","WaiE4",-17.78621,178.6909,178.6909,5.9,"WCS Fiji; Vibrant Oceans"
"448","WaiE5",-17.780001,178.645001,178.645001,6.03,"WCS Fiji; Vibrant Oceans"
"449","WaiE6",-17.78236,178.64542,178.64542,5.83,"WCS Fiji; Vibrant Oceans"
"450","WAL001",-16.82239513,179.0647709,179.0647709,1,"WCS Fiji"
"451","WAL002",-16.8264681,179.0824204,179.0824204,6.13,"WCS Fiji"
"452","WAL003",-16.8308126,179.091381,179.091381,1,"WCS Fiji"
"453","WAL004",-16.84357458,179.1163619,179.1163619,7.87,"WCS Fiji"
"454","WAL007",-16.83297175,179.1202915,179.1202915,6.4,"WCS Fiji"
"455","WAL008",-16.83649677,179.1349619,179.1349619,6,"WCS Fiji"
"456","WAL009",-16.82454117,179.1350975,179.1350975,1,"WCS Fiji"
"457","WAL010",-16.82145165,179.1188595,179.1188595,6.77,"WCS Fiji"
"458","WAL012",-16.80067262,179.1109312,179.1109312,1.2,"WCS Fiji"
"459","WAL013",-16.82945495,179.1541047,179.1541047,7.67,"WCS Fiji"
"460","WAL014",-16.8264681,179.1516609,179.1516609,1.3,"WCS Fiji"
"461","WAL015",-16.81289153,179.1413428,179.1413428,3.8,"WCS Fiji"
"462","WAL016",-16.82701116,179.1663236,179.1663236,1.2,"WCS Fiji"
"463","WAL017",-16.82673963,179.1760988,179.1760988,7.5,"WCS Fiji"
"464","WAL018",-16.82518009,179.1999935,179.1999935,6.8,"WCS Fiji"
"465","WAL019",-16.8160516,179.1593566,179.1593566,6.3,"WCS Fiji"
"466","WAL020",-16.79924293,179.1493956,179.1493956,5.3,"WCS Fiji"
"467","WAL021",-16.79469892,179.1470449,179.1470449,1.6,"WCS Fiji"
"468","WAL022",-16.78872577,179.1525273,179.1525273,1.3,"WCS Fiji"
"469","WAL023",-16.79144055,179.1288523,179.1288523,1,"WCS Fiji"
"470","WAL024",-16.78953983,179.1204348,179.1204348,6.5,"WCS Fiji"
"471","WAL025",-16.77297641,179.1234217,179.1234217,5,"WCS Fiji"
"472","WAL026",-16.76455894,179.130753,179.130753,1.5,"WCS Fiji"
"473","WAL027",-16.76401587,179.1386274,179.1386274,1,"WCS Fiji"
"474","WAL028",-16.77053263,179.1462303,179.1462303,7.27,"WCS Fiji"
"475","WAL029",-16.76890344,179.1565485,179.1565485,7.33,"WCS Fiji"
"476","WAL030",-16.7599429,179.1432435,179.1432435,2,"WCS Fiji"
"477","WAL031",-16.75652101,179.1505874,179.1505874,7.2,"WCS Fiji"
"478","WAL032",-16.75315462,179.1573631,179.1573631,5,"WCS Fiji"
"479","WAL034",-16.74690939,179.1619791,179.1619791,1,"WCS Fiji"
"480","WAL035",-16.75016777,179.1883177,179.1883177,1.3,"WCS Fiji"
"481","WAL036",-16.75107066,179.1817143,179.1817143,1.4,"WCS Fiji"
"482","WAL037",-16.74745246,179.1766418,179.1766418,6.5,"WCS Fiji"
"483","WAL038",-16.74283642,179.1676813,179.1676813,1,"WCS Fiji"
"484","WAL039",-16.74012111,179.177728,179.177728,5.5,"WCS Fiji"
"485","WAL040",-16.72676362,179.1729849,179.1729849,1,"WCS Fiji"
"486","WAL041",-16.717584,179.1866885,179.1866885,1,"WCS Fiji"
"487","WAL042",-16.70998112,179.1961921,179.1961921,5.93,"WCS Fiji"
"488","WAL043",-16.70482202,179.204338,179.204338,2.93,"WCS Fiji"
"489","WAL045",-16.70279199,179.2181861,179.2181861,6.4,"WCS Fiji"
"490","WAL046",-16.70524824,179.229569,179.229569,6.9,"WCS Fiji"
"491","WAL047",-16.70237824,179.2409948,179.2409948,1,"WCS Fiji"
"492","WAL049",-16.786569,179.129152,179.129152,6.7,"WCS Fiji"
"493","WAL105",-16.837303,179.116745,179.116745,1,"WCS Fiji"
"494","WAL106",-16.840114,179.11005,179.11005,6.2,"WCS Fiji"
"495","WAL111",-16.806726,179.092997,179.092997,7.07,"WCS Fiji"
"496","WAL133",-16.761814,179.175588,179.175588,7.23,"WCS Fiji"
"497","WAL144",-16.704657,179.212374,179.212374,4,"WCS Fiji"
"498","WAN001",-16.91580194,178.849718,178.849718,7.27,"WCS Fiji"
"499","WAN002",-16.91037131,178.8459166,178.8459166,1.23,"WCS Fiji"
"500","WAN003",-16.9060422,178.8565151,178.8565151,1,"WCS Fiji"
"501","WAN005",-16.8921787,178.8524333,178.8524333,1,"WCS Fiji"
"502","WAN006",-16.89109258,178.8611223,178.8611223,4.4,"WCS Fiji"
